"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","3","Object manupilaions","0","0","Add new object","0"
"0","","0","Object manupilaions","1","0","Patch existing object","0"
"0","","0","Object manupilaions","1","0","","0"
"0","","0","Object manupilaions","1","0","Delete existing object","0"
"0","","0","Object manupilaions","1","0","Change existing object","0"
